Regio's,Mediaan persoonlijk inkomen
Groningen,"26,4"
Friesland,"27,1"
Drenthe,"28,2"
Overijssel,"28,3"
Flevoland,"30,4"
Gelderland,"29,1"
Utrecht,"33,0"
Noord-Holland,"31,3"
Zuid-Holland,"30,2"
Zeeland,"28,3"
Noord-Brabant,"29,9"
Limburg,"27,6"
Aa en Hunze,"29,9"
Aalsmeer,"32,1"
Aalten,"27,4"
Achtkarspelen,"25,8"
Alblasserdam,"28,5"
Albrandswaard,"36,3"
Alkmaar,"30,7"
Almelo,"25,8"
Almere,"32,0"
Alphen aan den Rijn,"32,3"
Alphen-Chaam,"31,8"
Altena,"29,7"
Ameland,"26,9"
Amersfoort,"33,7"
Amstelveen,"34,6"
Amsterdam,"31,2"
Apeldoorn,"29,8"
Arnhem,"28,4"
Assen,"29,0"
Asten,"28,4"
Baarle-Nassau,"28,2"
Baarn,"32,6"
Barendrecht,"34,2"
Barneveld,"29,7"
Beek,"29,6"
Beekdaelen,"29,7"
Beesel,"27,0"
Berg en Dal,"28,4"
Bergeijk,"30,1"
Bergen (L.),"27,6"
Bergen (NH.),"29,4"
Bergen op Zoom,"28,8"
Berkelland,"28,0"
Bernheze,"29,7"
Best,"31,6"
Beuningen,"31,0"
Beverwijk,"30,1"
De Bilt,"34,3"
Bladel,"30,0"
Blaricum,"35,6"
Bloemendaal,"37,1"
Bodegraven-Reeuwijk,"31,9"
Boekel,"29,5"
Borger-Odoorn,"27,7"
Borne,"30,8"
Borsele,"30,1"
Boxtel,"29,5"
Breda,"31,0"
Bronckhorst,"28,3"
Brummen,"29,3"
Brunssum,"26,5"
Bunnik,"37,0"
Bunschoten,"30,8"
Buren,"31,4"
Capelle aan den IJssel,"30,3"
Castricum,"33,2"
Coevorden,"27,4"
Cranendonck,"29,5"
Culemborg,"32,2"
Dalfsen,"29,8"
Dantumadiel,"25,3"
Delft,"27,4"
Deurne,"29,0"
Deventer,"29,3"
Diemen,"33,4"
Dijk en Waard,"30,7"
Dinkelland,"29,8"
Doesburg,"26,9"
Doetinchem,"28,5"
Dongen,"30,5"
Dordrecht,"29,8"
Drechterland,"29,5"
Drimmelen,"30,4"
Dronten,"29,9"
Druten,"29,7"
Duiven,"30,2"
Echt-Susteren,"28,7"
Edam-Volendam,"30,4"
Ede,"30,6"
Eemnes,"32,4"
Eemsdelta,"26,2"
Eersel,"31,8"
Eijsden-Margraten,"32,2"
Eindhoven,"30,3"
Elburg,"28,0"
Emmen,"26,0"
Enkhuizen,"28,5"
Enschede,"25,0"
Epe,"28,1"
Ermelo,"29,6"
Etten-Leur,"29,9"
De Fryske Marren,"27,8"
Geertruidenberg,"30,0"
Geldrop-Mierlo,"30,4"
Gemert-Bakel,"29,1"
Gennep,"29,0"
Gilze en Rijen,"29,4"
Goeree-Overflakkee,"29,9"
Goes,"28,9"
Goirle,"31,3"
Gooise Meren,"35,8"
Gorinchem,"30,0"
Gouda,"30,8"
's-Gravenhage,"28,7"
Groningen,"26,1"
Gulpen-Wittem,"28,9"
Haaksbergen,"28,4"
Haarlem,"33,5"
Haarlemmermeer,"33,4"
Halderberge,"28,8"
Hardenberg,"28,1"
Harderwijk,"29,9"
Hardinxveld-Giessendam,"28,9"
Harlingen,"25,1"
Hattem,"30,5"
Heemskerk,"30,7"
Heemstede,"37,2"
Heerde,"28,9"
Heerenveen,"28,0"
Heerlen,"25,5"
Heeze-Leende,"32,7"
Heiloo,"32,7"
Den Helder,"28,5"
Hellendoorn,"28,7"
Helmond,"28,4"
Hendrik-Ido-Ambacht,"33,6"
Hengelo,"28,3"
's-Hertogenbosch,"31,7"
Heumen,"32,4"
Heusden,"30,2"
Hillegom,"31,6"
Hilvarenbeek,"31,9"
Hilversum,"32,9"
Hoeksche Waard,"31,8"
