Gemeente;Provincie;Verdachten per 10 000 inwoners
Aalsmeer;Noord-Holland;72
Alkmaar;Noord-Holland;99
Amstelveen;Noord-Holland;72
Amsterdam;Noord-Holland;121
Bergen;Noord-Holland;52
Beverwijk;Noord-Holland;97
Blaricum;Noord-Holland;59
Bloemendaal;Noord-Holland;67
Castricum;Noord-Holland;63
Diemen;Noord-Holland;99
Dijk en Waard;Noord-Holland;76
Drechterland;Noord-Holland;57
Edam-Volendam;Noord-Holland;55
Enkhuizen;Noord-Holland;77
Gooise Meren;Noord-Holland;68
Haarlem;Noord-Holland;103
Haarlemmermeer;Noord-Holland;81
Heemskerk;Noord-Holland;71
Heemstede;Noord-Holland;71
Heiloo;Noord-Holland;61
Den Helder;Noord-Holland;129
Hilversum;Noord-Holland;81
Hollands Kroon;Noord-Holland;54
Hoorn;Noord-Holland;88
Huizen;Noord-Holland;63
Koggenland;Noord-Holland;52
Landsmeer;Noord-Holland;84
Laren;Noord-Holland;52
Medemblik;Noord-Holland;67
Oostzaan;Noord-Holland;73
Opmeer;Noord-Holland;40
Ouder-Amstel;Noord-Holland;69
Purmerend;Noord-Holland;97
Schagen;Noord-Holland;62
Stede Broec;Noord-Holland;56
Texel;Noord-Holland;60
Uitgeest;Noord-Holland;61
Uithoorn;Noord-Holland;85
Velsen;Noord-Holland;97
Waterland;Noord-Holland;63
Weesp;Noord-Holland;69
Wijdemeren;Noord-Holland;53
Wormerland;Noord-Holland;63
Zaanstad;Noord-Holland;123
Zandvoort;Noord-Holland;121
Alblasserdam;Zuid-Holland;61
Albrandswaard;Zuid-Holland;86
Alphen aan den Rijn;Zuid-Holland;88
Barendrecht;Zuid-Holland;67
Bodegraven-Reeuwijk;Zuid-Holland;55
Brielle;Zuid-Holland;68
Capelle aan den IJssel;Zuid-Holland;99
Delft;Zuid-Holland;84
Dordrecht;Zuid-Holland;111
Goeree-Overflakkee;Zuid-Holland;58
Gorinchem;Zuid-Holland;77
Gouda;Zuid-Holland;98
s-Gravenhage;Zuid-Holland;148
Hardinxveld-Giessendam;Zuid-Holland;53
Hellevoetsluis;Zuid-Holland;83
Hendrik-Ido-Ambacht;Zuid-Holland;52
Hillegom;Zuid-Holland;71
Hoeksche Waard;Zuid-Holland;58
Kaag en Braassem;Zuid-Holland;67
Katwijk;Zuid-Holland;64
Krimpen aan den IJssel;Zuid-Holland;65
Krimpenerwaard;Zuid-Holland;63
Lansingerland;Zuid-Holland;64
Leiden;Zuid-Holland;82
Leiderdorp;Zuid-Holland;59
Leidschendam-Voorburg;Zuid-Holland;94
Lisse;Zuid-Holland;58
Maassluis;Zuid-Holland;86
Midden-Delfland;Zuid-Holland;45
Molenlanden;Zuid-Holland;58
Nieuwkoop;Zuid-Holland;57
Nissewaard;Zuid-Holland;113
Noordwijk;Zuid-Holland;65
Oegstgeest;Zuid-Holland;48
Papendrecht;Zuid-Holland;70
Pijnacker-Nootdorp;Zuid-Holland;70
Ridderkerk;Zuid-Holland;76
Rijswijk;Zuid-Holland;100
Rotterdam;Zuid-Holland;153
Schiedam;Zuid-Holland;121
Sliedrecht;Zuid-Holland;63
Teylingen;Zuid-Holland;58
Vlaardingen;Zuid-Holland;111
Voorschoten;Zuid-Holland;59
Waddinxveen;Zuid-Holland;66
Wassenaar;Zuid-Holland;74
Westland;Zuid-Holland;64
Westvoorne;Zuid-Holland;54
Zoetermeer;Zuid-Holland;114
Zoeterwoude;Zuid-Holland;45
Zuidplas;Zuid-Holland;64
Zwijndrecht;Zuid-Holland;81
Almere;Flevoland;111
Dronten;Flevoland;58
Lelystad;Flevoland;103
Noordoostpolder;Flevoland;58
Urk;Flevoland;83
Zeewolde;Flevoland;67
