Gemeente;Provincie;Verdachten per 10 000 inwoners
Groningen;Provlos;81
Friesland;Provlos;79
Drenthe;Provlos;67
Overijssel;Provlos;67
Flevoland;Provlos;105
Gelderland;Provlos;70
Utrecht;Provlos;73
Noord-Holland;Provlos;95
Zuid-Holland;Provlos;103
Zeeland;Provlos;82
Noord-Brabant;Provlos;76
Limburg;Provlos;79
Eemsdelta;Groningen;102
Groningen;Groningen;86
Het Hogeland;Groningen;67
Midden-Groningen;Groningen;83
Oldambt;Groningen;91
Pekela;Groningen;94
Stadskanaal;Groningen;82
Veendam;Groningen;73
Westerkwartier;Groningen;58
Westerwolde;Groningen;61
Achtkarspelen;Friesland;91
Ameland;Friesland;20
Dantumadiel;Friesland;61
De Fryske Marren;Friesland;54
Harlingen;Friesland;83
Heerenveen;Friesland;73
Leeuwarden;Friesland;113
Noardeast-Fryslân;Friesland;73
Ooststellingwerf;Friesland;72
Opsterland;Friesland;58
Smallingerland;Friesland;84
Súdwest-Fryslân;Friesland;81
Terschelling;Friesland;55
Tytsjerksteradiel;Friesland;58
Vlieland;Friesland;83
Waadhoeke;Friesland;70
Weststellingwerf;Friesland;58
Aa en Hunze;Drenthe;45
Assen;Drenthe;87
Borger-Odoorn;Drenthe;56
Coevorden;Drenthe;53
Emmen;Drenthe;83
Hoogeveen;Drenthe;75
Meppel;Drenthe;61
Midden-Drenthe;Drenthe;54
Noordenveld;Drenthe;56
Tynaarlo;Drenthe;56
Westerveld;Drenthe;49
De Wolden;Drenthe;37
Almelo;Overijssel;116
Borne;Overijssel;35
Dalfsen;Overijssel;36
Deventer;Overijssel;82
Dinkelland;Overijssel;32
Enschede;Overijssel;94
Haaksbergen;Overijssel;34
Hardenberg;Overijssel;48
Hellendoorn;Overijssel;26
Hengelo;Overijssel;75
Hof van Twente;Overijssel;41
Kampen;Overijssel;66
Losser;Overijssel;44
Oldenzaal;Overijssel;50
Olst-Wijhe;Overijssel;53
Ommen;Overijssel;38
Raalte;Overijssel;34
Rijssen-Holten;Overijssel;39
Staphorst;Overijssel;57
Steenwijkerland;Overijssel;60
Tubbergen;Overijssel;40
Twenterand;Overijssel;65
Wierden;Overijssel;35
Zwartewaterland;Overijssel;51
Zwolle;Overijssel;93
Almere;Flevoland;111
Dronten;Flevoland;58
Lelystad;Flevoland;103
Noordoostpolder;Flevoland;58
Urk;Flevoland;83
Zeewolde;Flevoland;67
Aalten;Gelderland;36
Apeldoorn;Gelderland;86
Arnhem;Gelderland;121
Barneveld;Gelderland;67
Berg en Dal;Gelderland;63
Berkelland;Gelderland;50
Beuningen;Gelderland;51
Bronckhorst;Gelderland;37
Brummen;Gelderland;57
Buren;Gelderland;50
Culemborg;Gelderland;56
Doesburg;Gelderland;69
Doetinchem;Gelderland;86
Druten;Gelderland;52
Duiven;Gelderland;52
Ede;Gelderland;74
Elburg;Gelderland;60
Epe;Gelderland;67
Ermelo;Gelderland;70
Harderwijk;Gelderland;75
Hattem;Gelderland;50
Heerde;Gelderland;50
Heumen;Gelderland;64
Lingewaard;Gelderland;47
Lochem;Gelderland;57
Maasdriel;Gelderland;68
Montferland;Gelderland;50
Neder-Betuwe;Gelderland;63
Nijkerk;Gelderland;63
Nijmegen;Gelderland;83
Nunspeet;Gelderland;69
Oldebroek;Gelderland;61
Oost Gelre;Gelderland;54
Oude IJsselstreek;Gelderland;45
Overbetuwe;Gelderland;50
Putten;Gelderland;56
Renkum;Gelderland;61
Rheden;Gelderland;70
Rozendaal;Gelderland;39
Scherpenzeel;Gelderland;55
Tiel;Gelderland;94
Voorst;Gelderland;57
Wageningen;Gelderland;50
West Betuwe;Gelderland;55
West Maas en Waal;Gelderland;36
Westervoort;Gelderland;62
Wijchen;Gelderland;58
Winterswijk;Gelderland;62
Zaltbommel;Gelderland;65
Zevenaar;Gelderland;57
Zutphen;Gelderland;118
Amersfoort;Utrecht;83
Baarn;Utrecht;68
De Bilt;Utrecht;53
Bunnik;Utrecht;37
Bunschoten;Utrecht;73
Eemnes;Utrecht;54
Houten;Utrecht;44
IJsselstein;Utrecht;81
Leusden;Utrecht;47
Lopik;Utrecht;64
Montfoort;Utrecht;58
Nieuwegein;Utrecht;86
Oudewater;Utrecht;45
Renswoude;Utrecht;79
Rhenen;Utrecht;58
De Ronde Venen;Utrecht;66
Soest;Utrecht;64
Stichtse Vecht;Utrecht;67
Utrecht;Utrecht;90
Utrechtse Heuvelrug;Utrecht;61
Veenendaal;Utrecht;62
Vijfheerenlanden;Utrecht;71
Wijk bij Duurstede;Utrecht;34
Woerden;Utrecht;53
Woudenberg;Utrecht;47
Zeist;Utrecht;89
Aalsmeer;Noord-Holland;72
Alkmaar;Noord-Holland;99
Amstelveen;Noord-Holland;72
Amsterdam;Noord-Holland;121
Bergen;Noord-Holland;52
Beverwijk;Noord-Holland;97
Blaricum;Noord-Holland;59
Bloemendaal;Noord-Holland;67
Castricum;Noord-Holland;63
Diemen;Noord-Holland;99
Dijk en Waard;Noord-Holland;76
Drechterland;Noord-Holland;57
Edam-Volendam;Noord-Holland;55
Enkhuizen;Noord-Holland;77
Gooise Meren;Noord-Holland;68
