Regio's,A-U Alle economische activiteiten,"A Landbouw, bosbouw en visserij",B Delfstoffenwinning,C Industrie,D Energievoorziening,E Waterbedrijven en afvalbeheer,F Bouwnijverheid,G Handel,H Vervoer en opslag,I Horeca,J Informatie en communicatie,K Financiële dienstverlening,L Verhuur en handel van onroerend goed,M Specialistische zakelijke diensten,N Verhuur en overige zakelijke diensten,O Openbaar bestuur en overheidsdiensten,P Onderwijs,Q Gezondheids- en welzijnszorg,"R Cultuur, sport en recreatie",S Overige dienstverlening
Groningen,63610,3495,30,2365,130,80,5375,9090,1525,2245,3110,3370,900,10215,2690,230,3755,6880,4225,3895
Friesland,78395,6080,30,4120,205,105,8225,12000,2035,3030,2570,3955,1075,11755,3230,195,3895,7650,3805,4435
Drenthe,54830,3750,55,2160,70,70,5060,8930,1010,2055,1955,3325,755,8185,2340,125,2870,6250,2275,3595
Overijssel,131095,8460,25,5645,175,190,11335,21855,2270,4225,5575,9225,1860,20320,5040,255,6805,14205,6055,7565
Flevoland,53915,2630,5,1930,205,55,5565,8230,1775,1525,3170,2885,690,8385,2835,75,2985,5810,2090,3065
Gelderland,262700,12155,45,10430,240,355,25475,37840,5205,7955,11110,17950,4045,45835,11115,475,14875,30255,12585,14765
Utrecht,194320,3315,15,5175,165,170,15320,23005,4055,5330,12710,13000,2970,44670,8655,330,13195,21380,11770,9080
Noord-Holland,461220,5875,100,12550,415,480,40570,55525,14650,17380,29940,31800,7715,97505,21485,565,26775,40765,35450,21655
Zuid-Holland,480510,12840,225,14990,345,605,61165,63280,15495,14170,23220,30145,7230,89025,23140,865,26500,48210,23895,25050
Zeeland,45800,3620,20,2250,80,60,4560,6525,1405,2660,1155,3065,905,6005,1905,110,2010,4890,1715,2865
Noord-Brabant,330565,12875,45,14890,335,420,36270,50035,7735,10205,13610,24350,4655,58560,13305,460,16910,31625,15100,19185
Limburg,118280,4865,35,4970,160,200,10075,18815,2895,5515,4070,7170,1720,18370,4900,270,5800,14015,5880,8555
